from,to,realtion,weight
TH,OS,1,3
TH,CV,1,2
TH,WP,1,2
TH,RA,1,2
TH,BG,1,2
TH,HJ,1,2
TH,FR,1,2
TH,BS,1,2
TH,VB,2,3
TH,MB,3,2
TH,ME,3,1
TH,JA,3,1
TH,ST,3,1
TH,AL,3,1
TH,GB,5,1
TH,VZ,5,1
TH,FM,5,1
TH,JK,5,1
TH,TB,5,1
OS,TH,1,3
OS,CV,1,2
OS,WP,1,2
OS,RA,1,2
OS,BG,1,2
OS,HJ,1,2
OS,FR,1,2
OS,BS,1,2
OS,VB,2,3
OS,MB,3,2
OS,ME,3,1
OS,JA,3,1
OS,ST,3,1
OS,AL,3,1
OS,KC,8,2
CV,TH,1,2
CV,OS,1,2
CV,WP,1,3
CV,RA,1,3
CV,BG,1,3
CV,HJ,1,3
CV,FR,1,3
CV,BS,1,3
CV,VB,2,3
CV,MB,3,2
CV,ME,3,1
CV,JA,3,1
CV,ST,3,1
CV,AL,3,1
CV,GB,5,2
CV,VZ,5,2
CV,FM,5,2
CV,JK,5,2
CV,TB,5,2
CV,PF,7,3
WP,TH,1,2
WP,OS,1,2
WP,CV,1,3
WP,RA,1,3
WP,BG,1,3
WP,HJ,1,3
WP,FR,1,3
WP,BS,1,3
WP,VB,2,3
WP,MB,3,2
WP,ME,3,1
WP,JA,3,1
WP,ST,3,1
WP,DA,2,3
WP,AL,3,1
RA,TH,1,2
RA,OS,1,2
RA,CV,1,3
RA,WP,1,3
RA,BG,1,3
RA,HJ,1,3
RA,FR,1,3
RA,BS,1,3
RA,VB,2,3
RA,MB,3,2
RA,ME,3,1
RA,JA,3,1
RA,ST,3,1
RA,AL,3,1
BG,TH,1,2
BG,OS,1,2
BG,CV,1,3
BG,WP,1,3
BG,RA,1,3
BG,HJ,1,3
BG,FR,1,3
BG,BS,1,3
BG,VB,2,3
BG,MB,3,2
BG,ME,3,1
BG,JA,3,1
BG,ST,3,1
BG,AL,3,1
HJ,TH,1,2
HJ,OS,1,2
HJ,CV,1,3
HJ,WP,1,3
HJ,RA,1,3
HJ,BG,1,3
HJ,FR,1,3
HJ,BS,1,3
HJ,VB,2,3
HJ,MB,3,2
HJ,ME,3,1
HJ,JA,3,1
HJ,ST,3,1
HJ,AL,2,3
FR,TH,1,2
FR,OS,1,2
FR,CV,1,3
FR,WP,1,3
FR,RA,1,3
FR,BG,1,3
FR,HJ,1,3
FR,BS,1,3
FR,VB,2,3
FR,MB,3,2
FR,ME,3,1
FR,JA,3,1
FR,ST,3,1
FR,AL,3,1
FR,DM,2,3
BS,TH,1,2
BS,OS,1,2
BS,CV,1,3
BS,WP,1,3
BS,RA,1,3
BS,BG,1,3
BS,HJ,1,3
BS,FR,1,3
BS,VB,2,3
BS,MB,3,2
BS,ME,3,1
BS,JA,3,1
BS,ST,3,1
BS,AL,3,1
BS,RB,2,3
VB,TH,6,3
VB,OS,6,2
VB,CV,6,3
VB,WP,6,3
VB,RA,6,2
VB,BG,6,2
VB,HJ,6,2
VB,FR,6,2
VB,BS,6,2
VB,MB,3,3
VB,ME,3,2
VB,JA,3,2
VB,ST,3,2
VB,AL,3,2
VB,GB,4,1
VB,VZ,4,1
VB,FM,4,1
VB,JK,4,1
VB,TB,4,1
MB,VB,3,3
MB,ME,3,3
MB,JA,5,1
MB,ST,5,1
MB,DA,3,3
MB,AL,5,1
MB,DM,3,3
ME,VB,3,3
ME,MB,3,3
ME,JA,5,1
ME,ST,5,1
ME,DA,3,3
ME,AL,5,1
ME,DM,3,3
JA,VB,3,3
JA,MB,5,3
JA,ME,5,2
JA,ST,5,1
JA,AL,5,1
ST,VB,3,2
ST,MB,5,2
ST,ME,5,2
ST,JA,5,2
ST,AL,5,1
DA,WP,6,2
DA,MB,3,3
DA,ME,3,3
DA,DM,3,3
AL,HJ,6,3
AL,VB,3,3
AL,MB,5,2
AL,ME,5,2
AL,JA,5,2
AL,ST,5,2
DM,FR,6,3
DM,MB,3,3
DM,ME,3,3
DM,DA,3,3
GB,TH,5,3
GB,CV,5,3
GB,VB,9,3
GB,VZ,5,2
GB,FM,5,1
GB,JK,5,1
GB,TB,5,1
VZ,TH,5,2
VZ,CV,5,3
VZ,VB,4,3
VZ,GB,5,2
VZ,FM,5,1
VZ,JK,5,1
VZ,TB,5,1
FM,TH,5,2
FM,CV,5,3
FM,VB,4,3
FM,GB,5,2
FM,VZ,5,2
FM,JK,5,1
FM,TB,5,1
JK,TH,5,2
JK,CV,5,3
JK,VB,9,3
JK,GB,5,2
JK,VZ,5,2
JK,FM,5,1
JK,TB,5,1
TB,TH,5,2
TB,CV,5,3
TB,VB,9,3
TB,GB,5,2
TB,VZ,5,2
TB,FM,5,1
TB,JK,5,1
KC,OS,6,2
PF,CV,7,3
RB,BS,6,2
